[ 2017-10-26T10:12:26+08:00 ] /article/index/id/153 | INFO: Tag[ route_check ] --START--
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | INFO: Tag[ route_check ] --START--
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | INFO: Run CheckRoute Behavior [ RunTime:0.000372s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000409s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | INFO: Tag[ app_begin ] --START--
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000258s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000281s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.034457s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.035071s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '369' ) LIMIT 1   [ RunTime:0.034615s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.034835s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '33' ) LIMIT 1   [ RunTime:0.034482s ]
[ 2017-10-26T10:14:38+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.034523s ]
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.034468s ]
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.034468s ]
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.034774s ]
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | SQL: SELECT `images`,`id`,`title` FROM `think_article` WHERE type=16 LIMIT 8   [ RunTime:0.034499s ]
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | INFO: Tag[ view_template ] --START--
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | INFO: Run LocationTemplate Behavior [ RunTime:0.000364s ]
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000394s ]
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | INFO: Tag[ view_parse ] --START--
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-26T10:14:39+08:00 ] /article/index/id/369 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
